Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Treatment and WCP,,,,2023-08-03 10:10:43,2023-08-03 10:15:47,5m - 3.435s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-03 10:10:44,2023-08-03 10:11:40,56.666s,PASSED
"startApplication(LoginCreds.get(""APK""), true)",,,,2023-08-03 10:10:45,2023-08-03 10:11:26,40.887s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-03 10:11:26,2023-08-03 10:11:31,5.921s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-03 10:11:31,2023-08-03 10:11:33,1.207s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-03 10:11:33,2023-08-03 10:11:33,0.749s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-03 10:11:33,2023-08-03 10:11:35,1.653s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-03 10:11:35,2023-08-03 10:11:37,2.089s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-03 10:11:37,2023-08-03 10:11:40,3.245s,PASSED
,,,,,,,
Test Cases/Treatment and WCP/Add Treatment,,,,2023-08-03 10:11:40,2023-08-03 10:12:57,1m - 16.561s,PASSED
"scrollToText(""MRN: 24ui"")",,,,2023-08-03 10:11:41,2023-08-03 10:11:42,0.869s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - MRN 24ui""), 30)",,,,2023-08-03 10:11:42,2023-08-03 10:11:42,0.444s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.view.ViewGroup - Wound""), 30)",,,,2023-08-03 10:11:42,2023-08-03 10:11:44,1.944s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.view.ViewGroup - Wound""), 30)",,,,2023-08-03 10:11:44,2023-08-03 10:11:45,0.445s,PASSED
"verifyElementText(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Treatment""), ""Treatment"")",,,,2023-08-03 10:11:45,2023-08-03 10:12:15,30.323s,PASSED
"tap(findTestObject(""Treatment and WCP/Add Treatment/android.widget.TextView - Treatment""), 30)",,,,2023-08-03 10:12:15,2023-08-03 10:12:45,30.240s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.ImageView - Add Treatement""), 30)",,,,2023-08-03 10:12:45,2023-08-03 10:12:47,1.676s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.ImageView - Add Treatement""), 30)",,,,2023-08-03 10:12:47,2023-08-03 10:12:48,0.464s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Next""), 30)",,,,2023-08-03 10:12:48,2023-08-03 10:12:49,1.084s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - CLEANSING""), 30)",,,,2023-08-03 10:12:49,2023-08-03 10:12:50,1.068s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Acetic Acid""), 30)",,,,2023-08-03 10:12:50,2023-08-03 10:12:51,1.085s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - OINTMENTS""), 30)",,,,2023-08-03 10:12:51,2023-08-03 10:12:51,0.417s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Zinc Oxide""), 30)",,,,2023-08-03 10:12:51,2023-08-03 10:12:52,1.086s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Save""), 30)",,,,2023-08-03 10:12:52,2023-08-03 10:12:53,0.461s,PASSED
"verifyElementText(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Acetic Acid (1)""), ""Acetic Acid"")",,,,2023-08-03 10:12:53,2023-08-03 10:12:55,2.165s,PASSED
"verifyElementText(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Zinc Oxide (1)""), ""Zinc Oxide"")",,,,2023-08-03 10:12:55,2023-08-03 10:12:55,0.404s,PASSED
pressBack(),,,,2023-08-03 10:12:55,2023-08-03 10:12:56,0.230s,PASSED
pressBack(),,,,2023-08-03 10:12:56,2023-08-03 10:12:56,0.680s,PASSED
pressBack(),,,,2023-08-03 10:12:56,2023-08-03 10:12:57,0.780s,PASSED
,,,,,,,
Test Cases/Treatment and WCP/Edit Treatment,,,,2023-08-03 10:12:57,2023-08-03 10:13:41,44.194s,PASSED
"scrollToText(""MRN: 09ui"", STOP_ON_FAILURE)",,,,2023-08-03 10:12:58,2023-08-03 10:12:58,0.694s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.widget.TextView - MRN 09ui""), 30)",,,,2023-08-03 10:12:58,2023-08-03 10:12:59,0.336s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.view.ViewGroup - Wound""), 30)",,,,2023-08-03 10:12:59,2023-08-03 10:13:01,1.917s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.widget.TextView - Treatment""), 30)",,,,2023-08-03 10:13:01,2023-08-03 10:13:31,30.272s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.widget.ImageView - Edit Treatement""), 30)",,,,2023-08-03 10:13:31,2023-08-03 10:13:33,1.942s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.widget.TextView - Next""), 30)",,,,2023-08-03 10:13:33,2023-08-03 10:13:34,1.150s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.widget.TextView - DRESSING""), 30)",,,,2023-08-03 10:13:34,2023-08-03 10:13:35,1.049s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.widget.TextView - Activated Charcoal (1)""), 30)",,,,2023-08-03 10:13:35,2023-08-03 10:13:36,1.202s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.widget.TextView - Save""), 30)",,,,2023-08-03 10:13:36,2023-08-03 10:13:37,0.599s,PASSED
"verifyElementText(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.widget.TextView - Activated Charcoal""), ""Activated Charcoal"")",,,,2023-08-03 10:13:37,2023-08-03 10:13:39,2.228s,PASSED
"verifyElementText(findTestObject(""Object Repository/Treatment and WCP/Edit Treatment/android.widget.TextView - DRESSING (1)""), ""DRESSING"")",,,,2023-08-03 10:13:39,2023-08-03 10:13:40,0.477s,PASSED
pressBack(),,,,2023-08-03 10:13:40,2023-08-03 10:13:40,0.188s,PASSED
pressBack(),,,,2023-08-03 10:13:40,2023-08-03 10:13:41,0.714s,PASSED
pressBack(),,,,2023-08-03 10:13:41,2023-08-03 10:13:41,0.660s,PASSED
,,,,,,,
Test Cases/Treatment and WCP/Treatment WCP history,,,,2023-08-03 10:13:41,2023-08-03 10:15:47,2m - 5.378s,PASSED
"callTestCase(findTestCase(""User Managemenet/Login""), [:], STOP_ON_FAILURE)",,,,2023-08-03 10:13:42,2023-08-03 10:14:18,36.456s,PASSED
"scrollToText(""MRN: 97ui"")",,,,2023-08-03 10:14:18,2023-08-03 10:14:19,0.745s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Treatment WCP history/android.widget.TextView - MRN 97ui""), 30)",,,,2023-08-03 10:14:19,2023-08-03 10:14:20,0.445s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Treatment WCP history/android.view.ViewGroup""), 30)",,,,2023-08-03 10:14:20,2023-08-03 10:14:22,2.198s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Treatment WCP history/android.widget.TextView - Treatment""), 30)",,,,2023-08-03 10:14:22,2023-08-03 10:14:52,30.317s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Treatment and WCP/Treatment WCP history/android.view.ViewGroup (1)""), 30)",,,,2023-08-03 10:14:52,2023-08-03 10:14:54,1.840s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Treatment WCP history/android.widget.ImageView""), 30)",,,,2023-08-03 10:14:54,2023-08-03 10:14:54,0.515s,PASSED
"tap(findTestObject(""Treatment and WCP/Treatment WCP history/android.view.ViewGroup (2)""), 30)",,,,2023-08-03 10:14:54,2023-08-03 10:15:46,51.743s,PASSED
"verifyElementExist(findTestObject(""Treatment and WCP/Treatment WCP history/android.view.ViewGroup (1)""), 30)",,,,2023-08-03 10:15:46,2023-08-03 10:15:47,0.454s,PASSED
