Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sync,,,,2023-08-08 10:40:32,2023-08-08 10:44:58,4m - 26.192s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-08 10:40:33,2023-08-08 10:41:38,1m - 4.990s,PASSED
"startApplication(APK, true)",,,,2023-08-08 10:40:34,2023-08-08 10:41:24,49.960s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-08 10:41:24,2023-08-08 10:41:27,3.160s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-08 10:41:27,2023-08-08 10:41:29,1.770s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-08 10:41:29,2023-08-08 10:41:30,0.758s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-08 10:41:30,2023-08-08 10:41:31,1.598s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-08 10:41:31,2023-08-08 10:41:34,2.082s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-08 10:41:34,2023-08-08 10:41:38,4.333s,PASSED
,,,,,,,
Test Cases/Synchronization and Offline Use/Automatic sync mode,,,,2023-08-08 10:41:38,2023-08-08 10:44:58,3m - 20.353s,PASSED
"delay(60, STOP_ON_FAILURE)",,,,2023-08-08 10:41:39,2023-08-08 10:42:39,1m - 0.013s,PASSED
"toggleWifi(""off"", STOP_ON_FAILURE)",,,,2023-08-08 10:42:39,2023-08-08 10:42:40,1.060s,PASSED
"tap(findTestObject(""Synchronization and Offline Use/Automatic sync mode/android.view.ViewGroup - add patient""), 30)",,,,2023-08-08 10:42:40,2023-08-08 10:42:42,1.391s,PASSED
"setText(findTestObject(""Object Repository/Synchronization and Offline Use/Automatic sync mode/android.widget.EditText - First name""), ""Test"", 30)",,,,2023-08-08 10:42:42,2023-08-08 10:42:43,1.636s,PASSED
"setText(findTestObject(""Object Repository/Synchronization and Offline Use/Automatic sync mode/android.widget.EditText - Last name""), ""Sync"", 30)",,,,2023-08-08 10:42:43,2023-08-08 10:42:45,1.816s,PASSED
"setText(findTestObject(""Object Repository/Synchronization and Offline Use/Automatic sync mode/android.widget.EditText - Date of birth (ddmmyyyy)""), ""01/09/1990"", 30)",,,,2023-08-08 10:42:45,2023-08-08 10:42:47,1.787s,PASSED
"setText(findTestObject(""Object Repository/Synchronization and Offline Use/Automatic sync mode/android.widget.EditText - MRN""), ""00ui"", 30)",,,,2023-08-08 10:42:47,2023-08-08 10:42:48,1.274s,PASSED
"tap(findTestObject(""Object Repository/Synchronization and Offline Use/Automatic sync mode/android.widget.TextView - Save""), 30)",,,,2023-08-08 10:42:48,2023-08-08 10:42:49,0.758s,PASSED
"verifyElementText(findTestObject(""Object Repository/Synchronization and Offline Use/Automatic sync mode/android.widget.TextView - Patient created successfully""), ""Patient created successfully"")",,,,2023-08-08 10:42:49,2023-08-08 10:42:50,0.942s,PASSED
"tap(findTestObject(""Object Repository/Synchronization and Offline Use/Automatic sync mode/android.widget.Button - OK""), 30)",,,,2023-08-08 10:42:50,2023-08-08 10:42:51,1.013s,PASSED
"verifyElementText(findTestObject(""Object Repository/Synchronization and Offline Use/Automatic sync mode/android.widget.TextView - Sync, Test""), ""Sync, Test"")",,,,2023-08-08 10:42:51,2023-08-08 10:42:51,0.449s,PASSED
"verifyElementText(findTestObject(""Object Repository/Synchronization and Offline Use/Automatic sync mode/android.widget.TextView - MRN 00ui""), ""MRN: 00ui"")",,,,2023-08-08 10:42:51,2023-08-08 10:42:52,0.398s,PASSED
"tap(findTestObject(""Synchronization and Offline Use/Automatic sync mode/android.widget.TextView - MRN 00ui""), 30)",,,,2023-08-08 10:42:52,2023-08-08 10:42:52,0.421s,PASSED
"tap(findTestObject(""Object Repository/Wound Management/Add Wound/android.widget.ImageView - add wound""), 30)",,,,2023-08-08 10:42:52,2023-08-08 10:42:53,0.940s,PASSED
"tap(findTestObject(""Object Repository/Wound Management/Add Wound/android.widget.TextView - Next""), 30)",,,,2023-08-08 10:42:53,2023-08-08 10:42:54,0.995s,PASSED
"tap(findTestObject(""Object Repository/Wound Management/Add Wound/android.widget.TextView - Save""), 30)",,,,2023-08-08 10:42:54,2023-08-08 10:42:55,0.990s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Wound Management/Add Wound/android.view.ViewGroup (2)""), 30)",,,,2023-08-08 10:42:55,2023-08-08 10:42:56,1.029s,PASSED
"tap(findTestObject(""Wound Management/Add Wound/android.view.ViewGroup (2)""), 30)",,,,2023-08-08 10:42:56,2023-08-08 10:42:57,0.536s,PASSED
"verifyElementText(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - Assessment""), ""Assessment"")",,,,2023-08-08 10:42:57,2023-08-08 10:43:27,30.402s,PASSED
"tap(findTestObject(""Wound Assessment/Add Assessment/android.widget.TextView - Assessment""), 30)",,,,2023-08-08 10:43:27,2023-08-08 10:43:57,30.393s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.ImageView - add Assessement""), 30)",,,,2023-08-08 10:43:57,2023-08-08 10:43:59,1.082s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.ImageView - add Assessement""), 30)",,,,2023-08-08 10:43:59,2023-08-08 10:43:59,0.497s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - WOUND EDGE""), 30)",,,,2023-08-08 10:43:59,2023-08-08 10:44:00,1.085s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - Rolled""), 30)",,,,2023-08-08 10:44:00,2023-08-08 10:44:01,1.187s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - PERI WOUND SKIN""), 30)",,,,2023-08-08 10:44:01,2023-08-08 10:44:02,0.647s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - Oedema""), 30)",,,,2023-08-08 10:44:02,2023-08-08 10:44:03,1.036s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - PERI WOUND SKIN (1)""), 30)",,,,2023-08-08 10:44:03,2023-08-08 10:44:04,0.640s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - PAIN""), 30)",,,,2023-08-08 10:44:04,2023-08-08 10:44:05,1.028s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.SeekBar - 0.0""), 30)",,,,2023-08-08 10:44:05,2023-08-08 10:44:06,1.091s,PASSED
"tap(findTestObject(""Wound Assessment/Add Assessment/android.widget.TextView - PAIN""), 30)",,,,2023-08-08 10:44:06,2023-08-08 10:44:07,1.061s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - DRAINAGE""), 30)",,,,2023-08-08 10:44:07,2023-08-08 10:44:08,1.042s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - Minimum""), 30)",,,,2023-08-08 10:44:08,2023-08-08 10:44:09,1.158s,PASSED
"tap(findTestObject(""Wound Assessment/Add Assessment/android.widget.TextView - DRAINAGE""), 30)",,,,2023-08-08 10:44:09,2023-08-08 10:44:10,1.100s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - PRESSURE INJURY STAGING""), 30)",,,,2023-08-08 10:44:10,2023-08-08 10:44:11,1.048s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.view.ViewGroup - stage II""), 30)",,,,2023-08-08 10:44:11,2023-08-08 10:44:12,1.136s,PASSED
"tap(findTestObject(""Wound Assessment/Add Assessment/android.widget.TextView - PRESSURE INJURY STAGING""), 30)",,,,2023-08-08 10:44:12,2023-08-08 10:44:13,0.749s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - ODOR""), 30)",,,,2023-08-08 10:44:13,2023-08-08 10:44:14,1.003s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - None""), 30)",,,,2023-08-08 10:44:14,2023-08-08 10:44:15,1.069s,PASSED
"tap(findTestObject(""Wound Assessment/Add Assessment/android.widget.TextView - Save""), 30)",,,,2023-08-08 10:44:15,2023-08-08 10:44:16,0.935s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.view.ViewGroup (1)""), 30)",,,,2023-08-08 10:44:16,2023-08-08 10:44:17,1.370s,PASSED
"tap(findTestObject(""Treatment and WCP/Add Treatment/android.widget.TextView - Treatment""), 30)",,,,2023-08-08 10:44:17,2023-08-08 10:44:48,30.438s,PASSED
"verifyElementExist(findTestObject(""Synchronization and Offline Use/Automatic sync mode/android.widget.ImageView - add treatment""), 30)",,,,2023-08-08 10:44:48,2023-08-08 10:44:49,1.268s,PASSED
"tap(findTestObject(""Synchronization and Offline Use/Automatic sync mode/android.widget.ImageView - add treatment""), 30)",,,,2023-08-08 10:44:49,2023-08-08 10:44:50,0.625s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Next""), 30)",,,,2023-08-08 10:44:50,2023-08-08 10:44:51,1.098s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - CLEANSING""), 30)",,,,2023-08-08 10:44:51,2023-08-08 10:44:52,1.105s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Acetic Acid""), 30)",,,,2023-08-08 10:44:52,2023-08-08 10:44:53,1.249s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - OINTMENTS""), 30)",,,,2023-08-08 10:44:53,2023-08-08 10:44:54,0.746s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Zinc Oxide""), 30)",,,,2023-08-08 10:44:54,2023-08-08 10:44:55,1.236s,PASSED
"tap(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Save""), 30)",,,,2023-08-08 10:44:55,2023-08-08 10:44:56,0.668s,PASSED
"verifyElementText(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Acetic Acid (1)""), ""Acetic Acid"")",,,,2023-08-08 10:44:56,2023-08-08 10:44:58,1.837s,PASSED
"verifyElementText(findTestObject(""Object Repository/Treatment and WCP/Add Treatment/android.widget.TextView - Zinc Oxide (1)""), ""Zinc Oxide"")",,,,2023-08-08 10:44:58,2023-08-08 10:44:58,0.572s,PASSED
