Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wound Management,,,,2023-08-13 18:18:35,2023-08-13 18:25:01,6m - 25.824s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-13 18:18:36,2023-08-13 18:19:41,1m - 4.534s,PASSED
"startApplication(APK, false)",,,,2023-08-13 18:18:38,2023-08-13 18:19:21,42.209s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-13 18:19:21,2023-08-13 18:19:31,10.173s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-13 18:19:31,2023-08-13 18:19:32,1.251s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-13 18:19:32,2023-08-13 18:19:33,0.771s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-13 18:19:33,2023-08-13 18:19:35,1.918s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-13 18:19:35,2023-08-13 18:19:37,2.124s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-13 18:19:37,2023-08-13 18:19:41,4.086s,PASSED
,,,,,,,
Test Cases/Wound Management/Add Wound,,,,2023-08-13 18:19:41,2023-08-13 18:19:58,16.633s,PASSED
"setText(findTestObject(""Object Repository/Wound Management/Add Wound/android.widget.EditText - Search by Name, MRN""), ""78ui"", 30)",,,,2023-08-13 18:19:42,2023-08-13 18:19:44,1.127s,PASSED
"tap(findTestObject(""Object Repository/Wound Management/Add Wound/android.widget.TextView - Current site""), 30)",,,,2023-08-13 18:19:44,2023-08-13 18:19:45,1.332s,PASSED
"tap(findTestObject(""Object Repository/Wound Management/Add Wound/android.widget.TextView - Current site (1)""), 30)",,,,2023-08-13 18:19:45,2023-08-13 18:19:47,2.423s,PASSED
"tap(findTestObject(""Object Repository/Wound Management/Add Wound/android.view.ViewGroup""), 30)",,,,2023-08-13 18:19:47,2023-08-13 18:19:48,0.861s,PASSED
"tap(findTestObject(""Object Repository/Wound Management/Add Wound/android.widget.ImageView - add wound""), 30)",,,,2023-08-13 18:19:48,2023-08-13 18:19:50,2.041s,PASSED
"tap(findTestObject(""Object Repository/Wound Management/Add Wound/android.widget.TextView - Next""), 30)",,,,2023-08-13 18:19:50,2023-08-13 18:19:52,1.269s,PASSED
"tap(findTestObject(""Object Repository/Wound Management/Add Wound/android.widget.TextView - Save""), 30)",,,,2023-08-13 18:19:52,2023-08-13 18:19:53,1.017s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Wound Management/Add Wound/android.view.ViewGroup (2)""), 30)",,,,2023-08-13 18:19:53,2023-08-13 18:19:56,3.056s,PASSED
pressBack(),,,,2023-08-13 18:19:56,2023-08-13 18:19:56,0.539s,PASSED
