Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wound Assessment,,,,2023-08-13 18:57:23,2023-08-13 19:01:31,4m - 7.390s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-13 18:57:24,2023-08-13 18:58:24,59.855s,PASSED
"startApplication(APK, false)",,,,2023-08-13 18:57:26,2023-08-13 18:58:01,35.555s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-13 18:58:01,2023-08-13 18:58:13,11.801s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-13 18:58:13,2023-08-13 18:58:14,1.242s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-13 18:58:14,2023-08-13 18:58:15,0.775s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-13 18:58:15,2023-08-13 18:58:18,2.753s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-13 18:58:18,2023-08-13 18:58:20,2.223s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-13 18:58:20,2023-08-13 18:58:24,4.071s,PASSED
,,,,,,,
Test Cases/Wound Assessment/Add Assessment,,,,2023-08-13 18:58:24,2023-08-13 18:59:03,38.967s,PASSED
"setText(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.EditText - Search by Name, MRN""), ""21ui"", 30)",,,,2023-08-13 18:58:25,2023-08-13 18:58:27,1.630s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - Current site""), 30)",,,,2023-08-13 18:58:27,2023-08-13 18:58:28,1.327s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - Current site (1)""), 30)",,,,2023-08-13 18:58:28,2023-08-13 18:58:29,1.133s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.view.ViewGroup - Patient""), 30)",,,,2023-08-13 18:58:29,2023-08-13 18:58:31,1.317s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.view.ViewGroup - Patient""), 30)",,,,2023-08-13 18:58:31,2023-08-13 18:58:31,0.371s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.view.ViewGroup - Wound""), 30)",,,,2023-08-13 18:58:31,2023-08-13 18:58:33,2.156s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.view.ViewGroup - Wound""), 30)",,,,2023-08-13 18:58:33,2023-08-13 18:58:34,0.464s,PASSED
"tap(findTestObject(""Data Preparation/Wound Assessment/android.view.ViewGroup - Assessment""), 30)",,,,2023-08-13 18:58:34,2023-08-13 18:58:37,3.420s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.ImageView - add Assessement""), 30)",,,,2023-08-13 18:58:37,2023-08-13 18:58:39,2.023s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.ImageView - add Assessement""), 30)",,,,2023-08-13 18:58:39,2023-08-13 18:58:40,0.565s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - WOUND EDGE""), 30)",,,,2023-08-13 18:58:40,2023-08-13 18:58:41,1.158s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - Rolled""), 30)",,,,2023-08-13 18:58:41,2023-08-13 18:58:42,1.503s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - PERI WOUND SKIN""), 30)",,,,2023-08-13 18:58:42,2023-08-13 18:58:43,0.671s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - Oedema""), 30)",,,,2023-08-13 18:58:43,2023-08-13 18:58:44,1.161s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - PERI WOUND SKIN (1)""), 30)",,,,2023-08-13 18:58:44,2023-08-13 18:58:45,0.650s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - PAIN""), 30)",,,,2023-08-13 18:58:45,2023-08-13 18:58:46,1.051s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.SeekBar - 0.0""), 30)",,,,2023-08-13 18:58:46,2023-08-13 18:58:47,1.168s,PASSED
"tap(findTestObject(""Wound Assessment/Add Assessment/android.widget.TextView - PAIN""), 30)",,,,2023-08-13 18:58:47,2023-08-13 18:58:48,0.984s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - DRAINAGE""), 30)",,,,2023-08-13 18:58:48,2023-08-13 18:58:49,0.991s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - Minimum""), 30)",,,,2023-08-13 18:58:49,2023-08-13 18:58:50,1.069s,PASSED
"tap(findTestObject(""Wound Assessment/Add Assessment/android.widget.TextView - DRAINAGE""), 30)",,,,2023-08-13 18:58:50,2023-08-13 18:58:51,1.046s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - PRESSURE INJURY STAGING""), 30)",,,,2023-08-13 18:58:51,2023-08-13 18:58:52,1.381s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.view.ViewGroup - stage II""), 30)",,,,2023-08-13 18:58:52,2023-08-13 18:58:54,1.175s,PASSED
"tap(findTestObject(""Wound Assessment/Add Assessment/android.widget.TextView - PRESSURE INJURY STAGING""), 30)",,,,2023-08-13 18:58:54,2023-08-13 18:58:54,0.659s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - ODOR""), 30)",,,,2023-08-13 18:58:54,2023-08-13 18:58:55,1.040s,PASSED
"tap(findTestObject(""Object Repository/Wound Assessment/Add Assessment/android.widget.TextView - None""), 30)",,,,2023-08-13 18:58:55,2023-08-13 18:58:56,1.042s,PASSED
"tap(findTestObject(""Wound Assessment/Add Assessment/android.widget.TextView - Save""), 30)",,,,2023-08-13 18:58:56,2023-08-13 18:58:57,1.036s,PASSED
