Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data report,,,,2023-08-14 15:31:15,2023-08-14 15:34:02,2m - 46.693s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-14 15:31:17,2023-08-14 15:32:17,1m - 0.619s,PASSED
"startApplication(APK, false)",,,,2023-08-14 15:31:19,2023-08-14 15:32:02,42.832s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-14 15:32:02,2023-08-14 15:32:07,5.638s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-14 15:32:07,2023-08-14 15:32:09,1.276s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-14 15:32:09,2023-08-14 15:32:09,0.777s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-14 15:32:09,2023-08-14 15:32:11,1.897s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-14 15:32:11,2023-08-14 15:32:13,2.097s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-14 15:32:13,2023-08-14 15:32:17,3.785s,PASSED
,,,,,,,
Test Cases/Data Report/Pateint (PDF) Report,,,,2023-08-14 15:32:17,2023-08-14 15:32:42,24.999s,PASSED
"scrollToText(""MRN: 11ui"")",,,,2023-08-14 15:32:18,2023-08-14 15:32:27,8.851s,PASSED
"tap(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.TextView - MRN 11ui""), 30)",,,,2023-08-14 15:32:27,2023-08-14 15:32:28,0.592s,PASSED
"tap(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:32:28,2023-08-14 15:32:30,2.788s,PASSED
"verifyElementText(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.TextView - Generate Report""), ""Generate Report"")",,,,2023-08-14 15:32:30,2023-08-14 15:32:32,1.065s,PASSED
"tap(findTestObject(""Data Report/Patient (PDF) Report/android.widget.TextView - Generate Report""), 30)",,,,2023-08-14 15:32:32,2023-08-14 15:32:32,0.531s,PASSED
"verifyElementText(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.TextView - Generate""), ""Generate"")",,,,2023-08-14 15:32:32,2023-08-14 15:32:34,1.740s,PASSED
"tap(findTestObject(""Data Report/Patient (PDF) Report/android.widget.TextView - Generate""), 30)",,,,2023-08-14 15:32:34,2023-08-14 15:32:35,0.700s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-08-14 15:32:35,2023-08-14 15:32:40,5.019s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.RelativeLayout""), 30)",,,,2023-08-14 15:32:40,2023-08-14 15:32:40,0.380s,PASSED
pressBack(),,,,2023-08-14 15:32:40,2023-08-14 15:32:41,1.034s,PASSED
pressBack(),,,,2023-08-14 15:32:41,2023-08-14 15:32:41,0.464s,PASSED
pressBack(),,,,2023-08-14 15:32:41,2023-08-14 15:32:42,0.706s,PASSED
,,,,,,,
Test Cases/Data Report/PDF report logo customization,,,,2023-08-14 15:32:42,2023-08-14 15:33:42,1m - 0.144s,PASSED
"scrollToText(""MRN: 11ui"")",,,,2023-08-14 15:32:43,2023-08-14 15:32:45,1.019s,PASSED
"tap(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.TextView - MRN 11ui""), 30)",,,,2023-08-14 15:32:45,2023-08-14 15:32:45,0.492s,PASSED
"tap(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:32:45,2023-08-14 15:32:48,2.835s,PASSED
"verifyElementText(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.TextView - Generate Report""), ""Generate Report"")",,,,2023-08-14 15:32:48,2023-08-14 15:32:49,1.013s,PASSED
"tap(findTestObject(""Data Report/Patient (PDF) Report/android.widget.TextView - Generate Report""), 30)",,,,2023-08-14 15:32:49,2023-08-14 15:32:49,0.390s,PASSED
"tap(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.TextView - Default logo (eKare)""), 30)",,,,2023-08-14 15:32:49,2023-08-14 15:33:20,30.321s,PASSED
"tap(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.TextView - Custom logo On the web, go to Menu  Settings""), 30)",,,,2023-08-14 15:33:20,2023-08-14 15:33:33,13.150s,PASSED
"verifyElementText(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.TextView - Generate""), ""Generate"")",,,,2023-08-14 15:33:33,2023-08-14 15:33:34,1.543s,PASSED
"tap(findTestObject(""Data Report/Patient (PDF) Report/android.widget.TextView - Generate""), 30)",,,,2023-08-14 15:33:34,2023-08-14 15:33:35,0.575s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-08-14 15:33:35,2023-08-14 15:33:40,5.016s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Data Report/Patient (PDF) Report/android.widget.RelativeLayout""), 30)",,,,2023-08-14 15:33:40,2023-08-14 15:33:40,0.438s,PASSED
pressBack(),,,,2023-08-14 15:33:40,2023-08-14 15:33:41,0.891s,PASSED
