Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-08-17 09:46:13,2023-08-17 09:48:53,2m - 40.020s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-17 09:46:14,2023-08-17 09:46:59,45.163s,PASSED
"startApplication(APK, false)",,,,2023-08-17 09:46:15,2023-08-17 09:46:47,31.696s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-17 09:46:47,2023-08-17 09:46:50,3.087s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-17 09:46:50,2023-08-17 09:46:51,1.326s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-17 09:46:51,2023-08-17 09:46:52,0.836s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-17 09:46:52,2023-08-17 09:46:54,1.733s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-17 09:46:54,2023-08-17 09:46:56,2.141s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-17 09:46:56,2023-08-17 09:46:59,2.916s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-08-17 09:46:59,2023-08-17 09:47:22,23.093s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 09:47:00,2023-08-17 09:47:01,0.589s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-17 09:47:01,2023-08-17 09:47:03,1.805s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-08-17 09:47:03,2023-08-17 09:47:04,0.975s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 09:47:04,2023-08-17 09:47:11,7.122s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-17 09:47:11,2023-08-17 09:47:12,1.687s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-08-17 09:47:12,2023-08-17 09:47:13,0.925s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 09:47:13,2023-08-17 09:47:20,6.455s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-17 09:47:20,2023-08-17 09:47:21,1.669s,PASSED
