Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,,,,2023-08-17 10:27:41,2023-08-17 10:35:31,7m - 50.323s,PASSED
,,,,,,,
Test Cases/User Managemenet/Privacy Terms and Conditions,,,,2023-08-17 10:27:42,2023-08-17 10:30:57,3m - 15.373s,PASSED
"startApplication(APK, true)",,,,2023-08-17 10:27:44,2023-08-17 10:28:39,55.176s,PASSED
"verifyElementText(findTestObject(""Object Repository/User Management/Privacy Terms and conditions/android.widget.TextView - Terms  Conditions""), ""Terms & Conditions"")",,,,2023-08-17 10:28:39,2023-08-17 10:29:09,30.390s,PASSED
"verifyElementText(findTestObject(""Object Repository/User Management/Privacy Terms and conditions/android.widget.TextView - Privacy Policy""), ""Privacy Policy"")",,,,2023-08-17 10:29:09,2023-08-17 10:29:40,30.909s,PASSED
"tap(findTestObject(""User Management/Privacy Terms and conditions/android.widget.TextView - Terms  Conditions""), 30)",,,,2023-08-17 10:29:40,2023-08-17 10:30:10,30.250s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-08-17 10:30:10,2023-08-17 10:30:15,5.110s,PASSED
"verifyElementText(findTestObject(""User Management/Privacy Terms and conditions/android.widget.TextView - Terms and Conditions""), ""Terms and Conditions"")",,,,2023-08-17 10:30:15,2023-08-17 10:30:19,3.436s,PASSED
pressBack(),,,,2023-08-17 10:30:19,2023-08-17 10:30:20,0.945s,PASSED
"tap(findTestObject(""User Management/Privacy Terms and conditions/android.widget.TextView - Privacy Policy""), 30)",,,,2023-08-17 10:30:20,2023-08-17 10:30:50,30.338s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-08-17 10:30:50,2023-08-17 10:30:55,5.019s,PASSED
"verifyElementText(findTestObject(""Object Repository/User Management/Privacy Terms and conditions/android.widget.TextView - Privacy Policy (1)""), ""Privacy Policy"")",,,,2023-08-17 10:30:55,2023-08-17 10:30:57,1.386s,PASSED
pressBack(),,,,2023-08-17 10:30:57,2023-08-17 10:30:57,0.908s,PASSED
,,,,,,,
Test Cases/User Managemenet/Restore Password,,,,2023-08-17 10:30:58,2023-08-17 10:31:03,5.995s,PASSED
"tap(findTestObject(""Object Repository/User Management/Restore Password/android.widget.TextView - Forgot your password""), 30)",,,,2023-08-17 10:30:59,2023-08-17 10:30:59,0.467s,PASSED
"setText(findTestObject(""Object Repository/User Management/Restore Password/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-17 10:30:59,2023-08-17 10:31:00,1.400s,PASSED
"setText(findTestObject(""Object Repository/User Management/Restore Password/android.widget.EditText - email""), LoginCreds.get(""email""), 30)",,,,2023-08-17 10:31:00,2023-08-17 10:31:02,1.460s,PASSED
"tap(findTestObject(""Object Repository/User Management/Restore Password/android.view.ViewGroup""), 30)",,,,2023-08-17 10:31:02,2023-08-17 10:31:03,0.795s,PASSED
pressBack(),,,,2023-08-17 10:31:03,2023-08-17 10:31:03,0.756s,PASSED
,,,,,,,
Test Cases/User Managemenet/10loginTestAttempts,,,,2023-08-17 10:31:04,2023-08-17 10:31:33,29.552s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), ""Test10times"", 30)",,,,2023-08-17 10:31:05,2023-08-17 10:31:06,1.017s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), ""123"", 30)",,,,2023-08-17 10:31:06,2023-08-17 10:31:07,1.250s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-17 10:31:07,2023-08-17 10:31:08,0.758s,PASSED
